initialPosX,initialPosZ,finalPosX,finalPosZ,RobotPoseX,RobotPoseZ,RobotPoseRot,MinObstacleAngle,MinObstacleDistance,
-4500,-2000,-400,-2000,-4500,-1999.39,0.0101167,2.1,794.408,
-4500,-2000,-400,-2000,-4499.95,-1997.3,0.0261998,2.1,794.408,
-4500,-2000,-400,-2000,-4499.97,-1992.89,-0.0465322,2.1,790.602,
-4500,-2000,-400,-2000,-4500.3,-1988.66,-0.116312,2.1,790.602,
-4500,-2000,-400,-2000,-4500.89,-1984.6,-0.184039,2.016,897.238,
-4500,-2000,-400,-2000,-4501.92,-1979.99,-0.261808,2.016,897.238,
-4500,-2000,-400,-2000,-4503.2,-1975.73,-0.335017,1.134,1005.1,
-4500,-2000,-400,-2000,-4504.56,-1972.16,-0.397912,1.134,1005.1,
-4500,-2000,-400,-2000,-4506.52,-1967.9,-0.475192,1.302,1023.44,
-4500,-2000,-400,-2000,-4508.74,-1963.93,-0.550087,1.302,1023.44,
-4500,-2000,-400,-2000,-4510.74,-1960.85,-0.610722,1.47,1041.61,
-4500,-2000,-400,-2000,-4513.48,-1957.2,-0.685869,1.47,1041.61,
-4500,-2000,-400,-2000,-4516.87,-1953.36,-0.770261,1.638,1072.12,
-4500,-2000,-400,-2000,-4519.76,-1950.55,-0.836647,1.638,1072.12,
-4500,-2000,-400,-2000,-4523.42,-1947.47,-0.915537,1.764,1108.22,
-4500,-2000,-400,-2000,-4526.65,-1945.13,-0.981224,1.764,1108.22,
-4500,-2000,-400,-2000,-4530.54,-1942.7,-1.05686,1.932,1132.65,
-4500,-2000,-400,-2000,-4533.4,-1941.17,-1.11013,1.932,1132.65,
-4500,-2000,-400,-2000,-4537.6,-1939.26,-1.18624,2.058,1156.35,
-4500,-2000,-400,-2000,-4541.8,-1937.72,-1.25983,2.058,1156.35,
-4500,-2000,-400,-2000,-4545.84,-1936.55,-1.32919,-0.294,1217.12,
-4500,-2000,-400,-2000,-4550.25,-1935.62,-1.40345,-0.294,1217.12,
-4500,-2000,-400,-2000,-4554.17,-1935.07,-1.46858,-0.126,1201.06,
-4500,-2000,-400,-2000,-4558.76,-1934.75,-1.54442,-0.126,1201.06,
-4500,-2000,-400,-2000,-4563.27,-1934.78,4.66453,-6.70552e-08,1188.65,
-4500,-2000,-400,-2000,-4567.37,-1935.1,4.59671,-6.70552e-08,1188.65,
-4500,-2000,-400,-2000,-4572.14,-1935.82,4.51718,0.168,1180.94,
-4500,-2000,-400,-2000,-4575.68,-1936.62,4.45754,0.168,1180.94,
-4500,-2000,-400,-2000,-4580.31,-1938,4.37783,0.294,1177.39,
-4500,-2000,-400,-2000,-4584.28,-1939.52,4.30778,0.294,1177.39,
-4500,-2000,-400,-2000,-4587.5,-1940.99,4.24951,0.42,1178.05,
-4500,-2000,-400,-2000,-4591.5,-1943.15,4.17467,0.42,1178.05,
-4500,-2000,-400,-2000,-4594.95,-1945.35,4.1072,0.588,1182.73,
-4500,-2000,-400,-2000,-4599.21,-1948.56,4.01934,0.588,1182.73,
-4500,-2000,-400,-2000,-4602.33,-1951.31,3.95087,0.714,1191.81,
-4500,-2000,-400,-2000,-4604.76,-1953.74,3.89426,0.714,1191.81,
-4500,-2000,-400,-2000,-4608.67,-1958.3,3.79524,0.882,1205.13,
