FileName,KI,KE,initialX,initialZ,FinalZ,FinalZ,
internal_Force50.csv,50,60,-4500,-2000,-400,-2000,
internal_Force60.csv,60,60,-4500,-2000,-400,-2000,
internal_Force70.csv,70,60,-4500,-2000,-400,-2000,
internal_Force80.csv,80,60,-4500,-2000,-400,-2000,
internal_Force90.csv,90,60,-4500,-2000,-400,-2000,
internal_Force100.csv,100,60,-4500,-2000,-400,-2000,
internal_Force110.csv,110,60,-4500,-2000,-400,-2000,
internal_Force120.csv,120,60,-4500,-2000,-400,-2000,
internal_Force130.csv,130,60,-4500,-2000,-400,-2000,
internal_Force140.csv,140,60,-4500,-2000,-400,-2000,
Robot_Speed20.csv,120,60,-4500,-2000,-400,-2000,
Robot_Speed21.csv,120,60,-4500,-2000,-400,-2000,
internal_Force150.csv,150,60,-4500,-2000,-400,-2000,
internal_Force160.csv,160,60,-4500,-2000,-400,-2000,
internal_Force170.csv,170,60,-4500,-2000,-400,-2000,
internal_Force180.csv,180,60,-4500,-2000,-400,-2000,
internal_Force190.csv,190,60,-4500,-2000,-400,-2000,
internal_Force200.csv,200,60,-4500,-2000,-400,-2000,
internal_Force210.csv,210,60,-4500,-2000,-400,-2000,
internal_Force220.csv,220,60,-4500,-2000,-400,-2000,
internal_Force230.csv,230,60,-4500,-2000,-400,-2000,
internal_Force240.csv,240,60,-4500,-2000,-400,-2000,
internal_Force250.csv,250,60,-4500,-2000,-400,-2000,
internal_Force260.csv,260,60,-4500,-2000,-400,-2000,
internal_Force270.csv,270,60,-4500,-2000,-400,-2000,
internal_Force280.csv,280,60,-4500,-2000,-400,-2000,
internal_Force290.csv,290,60,-4500,-2000,-400,-2000,
internal_Force300.csv,300,60,-4500,-2000,-400,-2000,
internal_Force310.csv,310,60,-4500,-2000,-400,-2000,
internal_Force320.csv,320,60,-4500,-2000,-400,-2000,
internal_Force330.csv,330,60,-4500,-2000,-400,-2000,
internal_Force340.csv,340,60,-4500,-2000,-400,-2000,
internal_Force350.csv,350,60,-4500,-2000,-400,-2000,
internal_Force360.csv,360,60,-4500,-2000,-400,-2000,
internal_Force370.csv,370,60,-4500,-2000,-400,-2000,
internal_Force380.csv,380,60,-4500,-2000,-400,-2000,
internal_Force390.csv,390,60,-4500,-2000,-400,-2000,
internal_Force400.csv,400,60,-4500,-2000,-400,-2000,
internal_Force410.csv,410,60,-4500,-2000,-400,-2000,
internal_Force420.csv,420,60,-4500,-2000,-400,-2000,
internal_Force430.csv,430,60,-4500,-2000,-400,-2000,
internal_Force440.csv,440,60,-4500,-2000,-400,-2000,
internal_Force450.csv,450,60,-4500,-2000,-400,-2000,
