initialPosX,initialPosZ,finalPosX,finalPosZ,RobotPoseX,RobotPoseZ,RobotPoseRot,MinObstacleAngle,MinObstacleDistance,
-4500,-2000,-400,-2000,-4500,-1999.41,-0.00964425,2.1,794.408,
-4500,-2000,-400,-2000,-4500.05,-1997.21,-0.046014,2.1,794.408,
-4500,-2000,-400,-2000,-4500.44,-1992.41,-0.125325,1.932,878.947,
-4500,-2000,-400,-2000,-4500.97,-1988.91,-0.183689,1.932,878.947,
-4500,-2000,-400,-2000,-4502.03,-1984.15,-0.264016,2.058,905.519,
-4500,-2000,-400,-2000,-4503.14,-1980.44,-0.327721,2.058,905.519,
-4500,-2000,-400,-2000,-4504.63,-1976.46,-0.397724,1.218,1017.61,
-4500,-2000,-400,-2000,-4506.41,-1972.56,-0.468277,1.218,1017.61,
-4500,-2000,-400,-2000,-4508.61,-1968.55,-0.543677,1.386,1032.1,
-4500,-2000,-400,-2000,-4510.88,-1965.03,-0.612779,1.386,1032.1,
-4500,-2000,-400,-2000,-4514.04,-1960.89,-0.698458,1.554,1055.43,
-4500,-2000,-400,-2000,-4516.32,-1958.3,-0.75542,1.554,1055.43,
-4500,-2000,-400,-2000,-4519.71,-1954.94,-0.834069,1.68,1100.62,
-4500,-2000,-400,-2000,-4522.99,-1952.14,-0.90501,1.68,1100.62,
-4500,-2000,-400,-2000,-4526.24,-1949.74,-0.971592,1.848,1112.37,
-4500,-2000,-400,-2000,-4529.79,-1947.48,-1.04089,1.848,1112.37,
-4500,-2000,-400,-2000,-4533.49,-1945.45,-1.11051,1.974,1149.94,
-4500,-2000,-400,-2000,-4536.79,-1943.92,-1.17031,1.974,1149.94,
-4500,-2000,-400,-2000,-4541.37,-1942.17,-1.25112,2.1,1184.91,
-4500,-2000,-400,-2000,-4545.19,-1941.03,-1.31676,2.1,1184.91,
-4500,-2000,-400,-2000,-4549.98,-1939.96,-1.39758,-0.21,1208.2,
-4500,-2000,-400,-2000,-4554.61,-1939.32,-1.47469,-0.21,1208.2,
-4500,-2000,-400,-2000,-4558.77,-1939.04,-1.54333,-0.0420001,1194.63,
-4500,-2000,-400,-2000,-4563.15,-1939.06,4.66766,-0.0420001,1194.63,
-4500,-2000,-400,-2000,-4567.27,-1939.37,4.59955,0.0839999,1184.58,
-4500,-2000,-400,-2000,-4571.53,-1939.98,4.52864,0.0839999,1184.58,
-4500,-2000,-400,-2000,-4575.63,-1940.87,4.45953,0.21,1178.82,
-4500,-2000,-400,-2000,-4580.01,-1942.16,4.38443,0.21,1178.82,
-4500,-2000,-400,-2000,-4584.08,-1943.69,4.31279,0.378,1177.19,
-4500,-2000,-400,-2000,-4587.69,-1945.34,4.24739,0.378,1177.19,
-4500,-2000,-400,-2000,-4591.98,-1947.69,4.16681,0.504,1180.25,
-4500,-2000,-400,-2000,-4595.75,-1950.15,4.09255,0.504,1180.25,
-4500,-2000,-400,-2000,-4599.08,-1952.68,4.02362,0.672,1187.35,
-4500,-2000,-400,-2000,-4602.44,-1955.64,3.94993,0.672,1187.35,
-4500,-2000,-400,-2000,-4605.44,-1958.68,3.87968,0.798,1199.12,
