initialPosX,initialPosZ,finalPosX,finalPosZ,RobotPoseX,RobotPoseZ,RobotPoseRot,MinObstacleAngle,MinObstacleDistance,
-4500,-2000,-400,-2000,-4500,-2000.6,0,2.1,794.408,
-4500,-2000,-400,-2000,-4500,-2002.39,0,2.1,794.408,
-4500,-2000,-400,-2000,-4500,-2004.61,0,2.058,788.187,
-4500,-2000,-400,-2000,-4500,-2007.83,0,2.058,788.187,
-4500,-2000,-400,-2000,-4500,-2011.69,0,2.058,776.037,
-4500,-2000,-400,-2000,-4500,-2016.81,0,2.058,776.037,
-4500,-2000,-400,-2000,-4500,-2023.18,0,2.058,776.036,
-4500,-2000,-400,-2000,-4500,-2028.41,0,2.058,776.036,
-4500,-2000,-400,-2000,-4500,-2035.83,0,2.058,776.036,
-4500,-2000,-400,-2000,-4500,-2040.91,0,2.058,776.036,
-4500,-2000,-400,-2000,-4500,-2049.67,0,2.016,759.805,
-4500,-2000,-400,-2000,-4500,-2056.8,0,2.016,759.805,
-4500,-2000,-400,-2000,-4500,-2065.66,0,2.016,759.804,
-4500,-2000,-400,-2000,-4500,-2072.65,0,2.016,759.804,
-4500,-2000,-400,-2000,-4500,-2082.82,0,1.974,751.223,
-4500,-2000,-400,-2000,-4500,-2088.89,0,1.974,751.223,
-4500,-2000,-400,-2000,-4500,-2098.18,0,1.974,745.526,
-4500,-2000,-400,-2000,-4500,-2105.28,0,1.974,745.526,
-4500,-2000,-400,-2000,-4500,-2114.15,0,1.932,744.205,
-4500,-2000,-400,-2000,-4500,-2121.16,0,1.932,744.205,
-4500,-2000,-400,-2000,-4500,-2130.95,0,1.932,733.043,
-4500,-2000,-400,-2000,-4500,-2137.2,0,1.932,733.043,
-4500,-2000,-400,-2000,-4500,-2146.04,0,1.932,733.042,
-4500,-2000,-400,-2000,-4500,-2153.19,0,1.932,733.042,
-4500,-2000,-400,-2000,-4500,-2160.78,0,1.89,722.224,
-4500,-2000,-400,-2000,-4500,-2169.56,0,1.89,722.224,
-4500,-2000,-400,-2000,-4500,-2178.04,0,1.89,722.223,
-4500,-2000,-400,-2000,-4500,-2185.05,0,1.89,722.223,
-4500,-2000,-400,-2000,-4500,-2194.57,0,1.848,712.959,
-4500,-2000,-400,-2000,-4500,-2200.74,0,1.848,712.959,
-4500,-2000,-400,-2000,-4500,-2209.98,0,1.848,712.958,
-4500,-2000,-400,-2000,-4500,-2218.05,0,1.848,712.958,
-4500,-2000,-400,-2000,-4500,-2226.39,0,1.806,705.156,
-4500,-2000,-400,-2000,-4500,-2233.54,0,1.806,705.156,
-4500,-2000,-400,-2000,-4500,-2245.79,0,1.764,698.742,
-4500,-2000,-400,-2000,-4500,-2253.48,0,1.764,698.742,
-4500,-2000,-400,-2000,-4500,-2267.91,0,1.764,698.741,
-4500,-2000,-400,-2000,-4500,-2274.56,0,1.764,698.741,
-4500,-2000,-400,-2000,-4500,-2288.41,0,1.722,693.655,
-4500,-2000,-400,-2000,-4500,-2295.54,0,1.722,693.655,
-4500,-2000,-400,-2000,-4500,-2308.07,0,1.68,689.851,
-4500,-2000,-400,-2000,-4500,-2320.01,0,1.68,689.851,
-4500,-2000,-400,-2000,-4500,-2333.48,0,1.68,689.85,
-4500,-2000,-400,-2000,-4500,-2344.43,0,1.68,689.85,
-4500,-2000,-400,-2000,-4500,-2358.97,0,1.638,687.292,
-4500,-2000,-400,-2000,-4500,-2367.6,0,1.638,687.292,
-4500,-2000,-400,-2000,-4500,-2383.01,0,1.596,685.959,
-4500,-2000,-400,-2000,-4499.54,-2393.14,0,1.596,685.959,
-4500,-2000,-400,-2000,-4497.56,-2405.01,0,1.554,684.674,
-4500,-2000,-400,-2000,-4495.57,-2416.95,0,1.554,684.674,
-4500,-2000,-400,-2000,-4493.31,-2430.5,0,1.554,680.695,
-4500,-2000,-400,-2000,-4491.79,-2439.66,0,1.554,680.695,
-4500,-2000,-400,-2000,-4489.21,-2455.12,0,1.554,676.758,
-4500,-2000,-400,-2000,-4487.43,-2465.79,0,1.554,676.758,
