initialPosX,initialPosZ,finalPosX,finalPosZ,RobotPoseX,RobotPoseZ,RobotPoseRot,MinObstacleAngle,MinObstacleDistance,
-4500,-2000,-400,-2000,-4500.01,-1998.84,-0.019071,1.134,886.17,
-4500,-2000,-400,-2000,-4500.13,-1995.67,-0.0714082,2.1,788.405,
-4500,-2000,-400,-2000,-4500.48,-1992.06,-0.131156,2.1,788.405,
-4500,-2000,-400,-2000,-4501.18,-1987.73,-0.203347,2.016,896.663,
-4500,-2000,-400,-2000,-4502.19,-1983.51,-0.274811,2.016,896.663,
-4500,-2000,-400,-2000,-4503.5,-1979.37,-0.346448,1.176,1000.4,
-4500,-2000,-400,-2000,-4504.84,-1975.94,-0.40702,1.176,1000.4,
-4500,-2000,-400,-2000,-4507.11,-1971.19,-0.49379,1.302,1035.49,
-4500,-2000,-400,-2000,-4509.08,-1967.76,-0.558857,1.302,1035.49,
-4500,-2000,-400,-2000,-4511.24,-1964.5,-0.62333,1.47,1043.06,
-4500,-2000,-400,-2000,-4513.65,-1961.35,-0.688705,1.47,1043.06,
-4500,-2000,-400,-2000,-4516.71,-1957.88,-0.764851,1.638,1075.84,
-4500,-2000,-400,-2000,-4519.6,-1955.03,-0.831805,1.638,1075.84,
-4500,-2000,-400,-2000,-4523.46,-1951.77,-0.915071,1.764,1112.36,
-4500,-2000,-400,-2000,-4526.27,-1949.71,-0.972418,1.764,1112.36,
-4500,-2000,-400,-2000,-4530.8,-1946.88,-1.06041,1.932,1139.5,
-4500,-2000,-400,-2000,-4534.13,-1945.13,-1.12237,1.932,1139.5,
-4500,-2000,-400,-2000,-4537.8,-1943.49,-1.18859,2.058,1162.62,
-4500,-2000,-400,-2000,-4541.82,-1942.01,-1.25919,2.058,1162.62,
-4500,-2000,-400,-2000,-4545.82,-1940.86,-1.32775,-0.294,1217.05,
-4500,-2000,-400,-2000,-4549.74,-1940,-1.39375,-0.294,1217.05,
-4500,-2000,-400,-2000,-4554.51,-1939.32,-1.47327,-0.126,1201.03,
-4500,-2000,-400,-2000,-4558.35,-1939.05,-1.53661,-0.126,1201.03,
-4500,-2000,-400,-2000,-4562.97,-1939.05,4.6704,-6.70552e-08,1188.94,
-4500,-2000,-400,-2000,-4566.95,-1939.33,4.60468,-6.70552e-08,1188.94,
-4500,-2000,-400,-2000,-4571.36,-1939.95,4.53137,0.168,1181.28,
-4500,-2000,-400,-2000,-4575.72,-1940.9,4.45795,0.168,1181.28,
-4500,-2000,-400,-2000,-4578.87,-1941.79,4.40385,0.294,1177.47,
-4500,-2000,-400,-2000,-4583.77,-1943.56,4.3181,0.294,1177.47,
-4500,-2000,-400,-2000,-4587.38,-1945.19,4.25285,0.42,1177.97,
-4500,-2000,-400,-2000,-4590.84,-1947.02,4.18828,0.42,1177.97,
-4500,-2000,-400,-2000,-4594.61,-1949.36,4.1152,0.588,1182.62,
-4500,-2000,-400,-2000,-4597.78,-1951.65,4.05081,0.588,1182.62,
-4500,-2000,-400,-2000,-4601.68,-1954.93,3.96689,0.714,1191.24,
-4500,-2000,-400,-2000,-4604.46,-1957.64,3.90294,0.714,1191.24,
-4500,-2000,-400,-2000,-4607.41,-1960.94,3.83007,0.84,1203.01,
-4500,-2000,-400,-2000,-4610.01,-1964.31,3.75991,0.84,1203.01,
-4500,-2000,-400,-2000,-4612.56,-1968.15,3.68394,-2.058,931.246,
-4500,-2000,-400,-2000,-4614.58,-1971.73,3.61632,-2.058,931.246,
-4500,-2000,-400,-2000,-4616.12,-1974.94,3.55766,-1.974,908.073,
-4500,-2000,-400,-2000,-4617.7,-1978.81,3.48876,-1.974,908.073,
-4500,-2000,-400,-2000,-4619.15,-1983.31,3.41087,-1.848,886.06,
-4500,-2000,-400,-2000,-4620.07,-1987.06,3.34731,-1.848,886.06,
-4500,-2000,-400,-2000,-4620.74,-1990.73,3.28588,-1.722,858.87,
-4500,-2000,-400,-2000,-4621.23,-1995.05,3.21422,-1.722,858.87,
-4500,-2000,-400,-2000,-4621.41,-1999.97,3.13304,-1.596,833.429,
-4500,-2000,-400,-2000,-4621.29,-2003.39,3.07664,-1.596,833.429,
-4500,-2000,-400,-2000,-4620.86,-2007.84,3.0031,-1.47,805.728,
-4500,-2000,-400,-2000,-4620.08,-2012.31,2.92828,-1.47,805.728,
-4500,-2000,-400,-2000,-4619.24,-2015.81,2.86896,-1.302,776.208,
-4500,-2000,-400,-2000,-4617.74,-2020.5,2.78792,-1.302,776.208,
-4500,-2000,-400,-2000,-4616.22,-2024.27,2.72096,-1.176,746.217,
-4500,-2000,-400,-2000,-4614.58,-2027.69,2.65851,-1.176,746.217,
-4500,-2000,-400,-2000,-4612.27,-2031.75,2.58155,-1.05,717.357,
-4500,-2000,-400,-2000,-4609.99,-2035.16,2.51395,-1.05,717.357,
-4500,-2000,-400,-2000,-4607.12,-2038.85,2.43778,-0.882,687.811,
-4500,-2000,-400,-2000,-4604.4,-2041.89,2.37773,-0.882,687.811,
-4500,-2000,-400,-2000,-4600.82,-2045.42,2.31065,-0.756,662.652,
-4500,-2000,-400,-2000,-4597.68,-2048.16,2.2601,-0.756,662.652,
-4500,-2000,-400,-2000,-4592.5,-2052.16,2.18871,-0.63,638.091,
-4500,-2000,-400,-2000,-4587.84,-2055.31,2.13206,-0.63,638.091,
-4500,-2000,-400,-2000,-4583.05,-2058.15,2.0705,-0.504,614.2,
-4500,-2000,-400,-2000,-4578.53,-2060.46,2.00767,-0.504,614.2,
-4500,-2000,-400,-2000,-4573.79,-2062.5,1.93673,-0.336,593.534,
-4500,-2000,-400,-2000,-4570.3,-2063.74,1.88056,-0.336,593.534,
-4500,-2000,-400,-2000,-4565.65,-2065.05,1.80511,-0.168,575.842,
-4500,-2000,-400,-2000,-4562.14,-2065.99,1.865,-0.168,575.842,
-4500,-2000,-400,-2000,-4557.91,-2067.42,1.9385,-0.294,572.148,
-4500,-2000,-400,-2000,-4553.97,-2069.08,2.00909,-0.294,572.148,
-4500,-2000,-400,-2000,-4549.92,-2071.14,2.08387,-0.462,576.262,
-4500,-2000,-400,-2000,-4546.47,-2073.21,2.15014,-0.462,576.262,
-4500,-2000,-400,-2000,-4542.55,-2075.98,2.22931,-0.63,586.134,
-4500,-2000,-400,-2000,-4539.79,-2078.23,2.28793,-0.63,586.134,
-4500,-2000,-400,-2000,-4535.46,-2082.36,2.38643,-0.756,598.202,
-4500,-2000,-400,-2000,-4533.19,-2084.89,2.44249,-0.756,598.202,
-4500,-2000,-400,-2000,-4530.2,-2088.71,2.52242,-0.924,614.047,
-4500,-2000,-400,-2000,-4528.41,-2091.34,2.57472,-0.924,614.047,
