initialPosX,initialPosZ,finalPosX,finalPosZ,RobotPoseX,RobotPoseZ,RobotPoseRot,MinObstacleAngle,MinObstacleDistance,
-4500,-2000,-400,-2000,-4500,-1999.27,-0.0120727,2.1,794.408,
-4500,-2000,-400,-2000,-4500.1,-1996.31,-0.060876,2.1,794.408,
-4500,-2000,-400,-2000,-4500.55,-1991.58,-0.139025,1.932,878.265,
-4500,-2000,-400,-2000,-4501.19,-1987.76,-0.202846,1.932,878.265,
-4500,-2000,-400,-2000,-4502.45,-1982.66,-0.28943,2.058,905.243,
-4500,-2000,-400,-2000,-4503.52,-1979.34,-0.34697,2.058,905.243,
-4500,-2000,-400,-2000,-4505.17,-1975.21,-0.420122,1.26,1006.24,
-4500,-2000,-400,-2000,-4507.24,-1970.98,-0.497725,1.26,1006.24,
-4500,-2000,-400,-2000,-4509.86,-1966.56,-0.582439,1.386,1055.47,
-4500,-2000,-400,-2000,-4511.57,-1964.07,-0.632151,1.386,1055.47,
-4500,-2000,-400,-2000,-4514.28,-1960.6,-0.70464,1.554,1061.61,
-4500,-2000,-400,-2000,-4517.3,-1957.29,-0.778511,1.554,1061.61,
-4500,-2000,-400,-2000,-4520.9,-1953.89,-0.860024,1.722,1088.02,
-4500,-2000,-400,-2000,-4523.69,-1951.61,-0.919455,1.722,1088.02,
-4500,-2000,-400,-2000,-4527.66,-1948.8,-0.999561,1.848,1134.6,
-4500,-2000,-400,-2000,-4530.62,-1947,-1.05669,1.848,1134.6,
-4500,-2000,-400,-2000,-4535.41,-1944.54,-1.14537,1.974,1173.88,
-4500,-2000,-400,-2000,-4538.51,-1943.23,-1.20071,1.974,1173.88,
-4500,-2000,-400,-2000,-4542.8,-1941.73,-1.27566,2.1,1219.92,
-4500,-2000,-400,-2000,-4547.95,-1940.38,-1.3634,2.1,1219.92,
-4500,-2000,-400,-2000,-4551.45,-1939.74,-1.42205,-0.168,1206.04,
-4500,-2000,-400,-2000,-4555.52,-1939.25,-1.48958,-0.168,1206.04,
-4500,-2000,-400,-2000,-4560.04,-1939.03,-1.56414,-0.0420001,1193.29,
-4500,-2000,-400,-2000,-4564.26,-1939.13,4.64954,-0.0420001,1193.29,
-4500,-2000,-400,-2000,-4568.21,-1939.49,4.58422,0.0839999,1183.69,
-4500,-2000,-400,-2000,-4572.81,-1940.25,4.50738,0.0839999,1183.69,
-4500,-2000,-400,-2000,-4576.55,-1941.13,4.44414,0.252,1178.4,
-4500,-2000,-400,-2000,-4580.38,-1942.31,4.3782,0.252,1178.4,
-4500,-2000,-400,-2000,-4584.31,-1943.81,4.30879,0.378,1177.17,
-4500,-2000,-400,-2000,-4587.81,-1945.41,4.24547,0.378,1177.17,
-4500,-2000,-400,-2000,-4591.75,-1947.56,4.17149,0.504,1180.26,
-4500,-2000,-400,-2000,-4595.44,-1949.95,4.09901,0.504,1180.26,
-4500,-2000,-400,-2000,-4598.41,-1952.16,4.03811,0.672,1187.39,
-4500,-2000,-400,-2000,-4601.83,-1955.08,3.96401,0.672,1187.39,
-4500,-2000,-400,-2000,-4605.13,-1958.36,3.88735,0.798,1197.8,
-4500,-2000,-400,-2000,-4607.69,-1961.3,3.82318,0.798,1197.8,
-4500,-2000,-400,-2000,-4610.2,-1964.58,3.75515,-2.058,945.562,
-4500,-2000,-400,-2000,-4612.57,-1968.19,3.68399,-2.058,945.562,
-4500,-2000,-400,-2000,-4614.84,-1972.27,3.60707,-2.016,917.868,
-4500,-2000,-400,-2000,-4616.74,-1976.38,3.53244,-2.016,917.868,
-4500,-2000,-400,-2000,-4618.02,-1979.73,3.47337,-1.89,895.26,
-4500,-2000,-400,-2000,-4619.29,-1983.83,3.40264,-1.89,895.26,
-4500,-2000,-400,-2000,-4620.39,-1988.6,3.32195,-1.764,869.697,
-4500,-2000,-400,-2000,-4621.07,-1993.3,3.24374,-1.764,869.697,
-4500,-2000,-400,-2000,-4621.34,-1996.72,3.18724,-1.638,842.736,
-4500,-2000,-400,-2000,-4621.39,-2001.61,3.10663,-1.638,842.736,
-4500,-2000,-400,-2000,-4621.03,-2006.56,3.02501,-1.512,813.931,
-4500,-2000,-400,-2000,-4620.55,-2009.96,2.96842,-1.512,813.931,
-4500,-2000,-400,-2000,-4619.68,-2014.17,2.89748,-1.344,783.487,
-4500,-2000,-400,-2000,-4618.55,-2018.18,2.82885,-1.344,783.487,
